food,calories,carbohydrates,fiber,net_carbs,fats,protein,vit-a_rae,vit-a,vit-b1,vit-b2,vit-b3,vit-b3,vit-b6,vit-b9,vit-c,vit-e,vit-k,choline,betaine,calcium,copper,fluoride,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,Other Names,Comments,Source
abiyuch,69,17.6,5.3,12.3,0.1,1.5,5,100,,,,,,,54.1,,,,,8,0.057,,1.61,24,0.182,47,304,,20,0.31,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167782/nutrients
acerola,32,7.69,1.1,6.59,0.3,0.4,38,767,0.02,0.06,0.4,0.309,0.009,14,1677.6,,,,,12,0.086,,0.2,18,,11,146,0.6,7,0.1,West Indian Cherry,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171686/nutrients
acorn,387,40.75,,,23.86,6.15,2,39,0.112,0.118,1.827,0.715,0.528,87,0,,,,,41,0.621,,0.79,62,1.337,79,539,,0,0.51,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170157/nutrients
apple,52,13.81,2.4,11.41,0.17,0.26,3,54,0.017,0.026,0.091,0.061,0.041,3,4.6,0.18,2.2,3.4,0.1,6,0.027,3.3,0.12,5,0.035,11,107,0,1,0.04,"Wild Apple, Malus",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171688/nutrients
apple crab,76,19.95,,,0.3,0.4,2,40,0.03,0.02,0.1,,,,8,,,,,18,0.067,,0.36,7,0.115,15,194,,1,,Green Apple,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171721/nutrients
apple granny smith,58,13.61,2.8,10.81,0.19,0.44,5,100,0.019,0.025,0.126,0.056,0.037,3,,0.18,3.2,3.4,,5,0.031,,0.15,5,0.044,12,120,0.1,1,0.04,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168203/nutrients
apple rose,25,5.7,,,0.3,0.6,17,339,0.02,0.03,0.8,,,,22.3,,,,,29,0.016,,0.07,5,0.029,8,123,,0,0.06,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168171/nutrients
apricot,48,11.12,2,9.12,0.39,1.4,96,1926,0.03,0.04,0.6,0.24,0.054,9,10,0.89,3.3,2.8,,13,0.078,,0.39,10,0.077,23,259,0.1,1,0.2,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171697/nutrients
avocado,160,8.53,6.7,1.83,14.66,2,7,146,0.067,0.13,1.738,1.389,0.257,81,10,2.07,21,14.2,0.7,12,0.19,7,0.55,29,0.142,52,485,0.4,7,0.64,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171705/nutrients
banana,89,22.84,2.6,20.24,0.33,1.09,3,64,0.031,0.073,0.665,0.334,0.367,20,8.7,0.1,0.5,9.8,0.1,5,0.078,2.2,0.26,27,0.27,22,358,1,1,0.15,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/nutrients
blackberry,43,9.61,5.3,4.31,0.49,1.39,11,214,0.02,0.026,0.646,0.276,0.03,25,21,1.17,19.8,8.5,0.3,29,0.165,,0.62,20,0.646,22,162,0.4,1,0.53,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173946/nutrients
blueberry,57,14.49,2.4,12.09,0.33,0.74,3,54,0.037,0.041,0.418,0.124,0.052,6,9.7,0.57,19.3,6,0.2,6,0.057,,0.28,6,0.336,12,77,0.1,1,0.16,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171711/nutrients
boysenberry,50,12.19,5.3,6.89,0.26,1.1,3,67,0.053,0.037,0.767,0.25,0.056,63,3.1,0.87,7.8,10.2,,27,0.08,,0.85,16,0.547,27,139,0.2,1,0.22,,"Frozen, Unsweetened",https://fdc.nal.usda.gov/fdc-app.html#/food-details/171713/nutrients
breadfruit,103,27.12,4.9,22.22,0.23,1.07,0,0,0.11,0.03,0.9,0.457,0.1,14,29,0.1,0.5,9.8,,17,0.084,,0.54,25,0.06,30,490,0.6,2,0.12,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171714/nutrients
breadfruit seed,191,29.24,5.2,24.04,5.59,7.4,13,256,0.482,0.301,0.438,0.877,0.32,53,6.6,,,,,36,1.148,,3.67,54,0.142,175,941,,25,0.9,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170144/nutrients
carambola,31,6.73,2.8,3.93,0.33,1.04,3,61,0.014,0.016,0.367,0.391,0.017,12,34.4,0.15,0,7.6,,3,0.137,,0.08,10,0.037,12,133,0.6,2,0.12,"Starfruit, Birambi",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171715/nutrients
cherry sour,50,12.18,1.6,10.58,0.3,1,64,1283,0.03,0.04,0.4,0.143,0.044,8,10,0.07,2.1,6.1,,16,0.104,,0.32,9,0.112,15,173,0,3,0.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173954/nutrients
